light,humidity,date,soilMoisture,battery,pressure,rain,sensorName,temperature,altitude
-1.01,60.88476563,2023-05-22 12:50:13+00:00,2657.0,-1.01,878.8903198,-1.01,sensorOne,25.04000092,1183.990967
-1.01,85.65136719,2023-05-24 03:41:07+00:00,1225.0,-1.01,896.9318237,-1.01,sensorTwo,20.40999985,1016.828979
-1.01,61.04003906,2023-05-22 14:58:30+00:00,2698.0,-1.01,879.1635742,-1.01,sensorTwo,24.97999954,1181.438843
-1.01,57.67382813,2023-05-22 04:02:32+00:00,2704.0,-1.01,879.5215454,-1.01,sensorTwo,25.54999924,1178.095581
-1.01,-1.01,2023-05-28 17:20:02+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,61.53222656,2023-05-23 14:47:10+00:00,1154.0,-1.01,896.7826538,-1.01,sensorTwo,36.06000137,1018.199951
-1.01,-1.01,2023-05-22 15:11:17+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,81.71484375,2023-06-06 22:02:59+00:00,4095.0,-1.01,894.7859497,-1.01,sensorTwo,21.37999916,1036.567993
0.081600003,-1.01,2023-05-22 11:36:46+00:00,2803.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.0,-1.01,2023-05-23 20:22:39+00:00,1149.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,60.09863281,2023-05-24 20:35:15+00:00,1429.0,-1.01,892.8529053,-1.01,sensorTwo,30.61000061,1054.38208
-1.01,-1.01,2023-05-24 00:56:10+00:00,4081.0,-1.01,-1.01,89.0,sensorFour,-1.01,-1.01
-1.01,79.67773438,2023-06-06 04:23:59+00:00,28.0,-1.01,897.7332764,-1.01,sensorOne,19.76000023,1009.466736
0.0,-1.01,2023-05-24 14:16:27+00:00,1121.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,82.98535156,2023-06-07 03:01:03+00:00,4095.0,-1.01,897.388916,-1.01,sensorTwo,19.10000038,1012.629578
-1.01,82.54199219,2023-06-06 03:09:15+00:00,1165.0,-1.01,897.2154541,-1.01,sensorTwo,19.38999939,1014.223022
-1.01,90.91503906,2023-05-25 09:22:14+00:00,1090.0,-1.01,894.5223999,-1.01,sensorOne,18.85000038,1038.994995
86.33348846,-1.01,2023-06-06 21:35:05+00:00,1252.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-25 09:43:41+00:00,3295.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
